VLAN ID	Gateway	vlan-test-a	vlan-test-b
0040	10.10.100.133	10.10.103.241/22	10.10.103.242/22
0042	10.10.200.1	10.10.201.128/23	10.10.201.242/23
0067	10.36.67.1	10.36.67.100/24	10.36.67.101/24
0336	10.15.36.1	10.15.36.100/24	10.15.36.101/24
0512	10.16.12.1	10.16.12.100/24	10.16.12.101/24
0573	10.16.73.1	10.16.73.100/24	10.16.73.101/24
0574	10.16.74.1	10.16.74.100/24	10.16.74.101/24
0701	10.16.201.1	10.16.201.100/24	10.16.201.101/24
0736	10.16.236.1	10.16.236.101/24	10.16.236.102/24
1000	10.255.253.94	10.255.253.70/27	10.255.253.71/27
1001	10.250.7.129	10.250.7.150/25	10.250.7.132/25
1005	172.23.66.238	no-avail-ips	no-avail-ips
1275	10.127.5.1	10.127.5.100/24	10.127.5.101/24
1310	137.111.31.1	137.111.31.45/26	137.111.31.46/26
1320	 137.111.132.4	137.111.132.20/26	137.111.132.21/26
1322	10.252.22.1	10.252.22.100/24	10.252.22.101/24
1330	137.111.30.1	137.111.30.8/28	137.111.30.11/28
1626	10.253.26.1	10.253.26.14/24	10.253.26.15/24
1760	10.176.0.1	10.176.0.100/24	10.176.0.101/24
1763	10.176.48.1	10.176.48.100/24	10.176.48.101/24
1764	192.168.0.1	192.168.0.10/24	192.168.0.11/24
2111	10.111.20.90	10.111.0.100/16	10.111.0.101/16
2120	10.120.0.1	10.120.0.100/16	10.120.0.101/16
2121	10.121.0.1	10.121.0.100/16	10.121.0.101/16
2122	10.122.0.1	10.122.0.100/16	10.122.0.101/16
2123	10.123.18.150	10.123.0.100/16	10.123.0.101/16
2140	10.30.0.1	10.30.0.40/20	10.30.0.41/20
2141	10.31.0.1	10.31.0.40/20	10.31.0.41/20
2142	10.32.0.1	10.32.0.40/20	10.32.0.41/20
2225	137.111.225.129	137.111.225.140/24	137.111.225.141/24
2226	137.111.226.1	137.111.226.200/24	137.111.226.201/24
2260	10.136.0.1	10.136.0.112/20	10.136.0.113/20
2300	10.20.0.1		
2315	172.16.11.1	172.16.11.10/28	172.16.11.11/28
2320	10.22.0.1	10.22.0.118/20	10.22.0.119/20
2340	10.24.0.1	10.24.0.102/20	10.24.0.103/20
2341	10.24.16.1	10.24.16.100/20	10.24.16.101/20
2348	10.24.250.1	10.24.250.200/24 	10.24.250.201/24 
2349	10.24.251.1	10.24.251.200/24 	10.24.251.201/24 
2360	10.26.0.1	10.26.0.230/20	10.26.0.231/20
2361	10.26.16.1	10.26.16.232/20	10.26.16.233/20
2470	137.111.47.11	137.111.47.15/24	137.111.47.16/24
2540	10.50.16.1	10.50.16.110/24	10.50.16.111/24
2560	10.50.32.1	10.50.32.110/24	10.50.32.111/24
2580	10.50.48.1	10.50.48.110/24	10.50.48.111/24
3180	137.111.180.37	137.111.180.14/25	137.111.180.15/25
3603	172.26.3.1		
3700	10.240.38.65	10.240.38.68/28	10.240.38.69/28
1948	10.19.248.1		
1922	10.19.22.1		
1923	10.19.122.1		
1924	10.19.24.1		
1925	10.19.124.1		
1926	10.19.26.1		
1927	10.19.126.1		
1951			
1952			
1953			
1954			
